Timestamp,Email address,dummy name,Age,Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem,Last Sem CPI
02/08/2024 08:13:32,,Love Pandeya,19-25,Female,St/Sc,Tertiary (graduation or above),Semi-Urban,above 10 lakh,no,No,Above 90%,60-70%,English,5.54,M.A,Regional and private collages,80%,PG room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),5+,No,5+,Going out side with friends,revising the whole notes without short notes,home (self),reading from books,3,2 am,no,better than you in study,Healthy Relationship,8.702
03/08/2024 17:12:11,,Dumny,19-25,Male,St/Sc,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,no,No,Above 90%,70-80%,Hindi,5.75,MBA ,Regional and private collages,didn't attended classes properly,PG room,never,missed some homeworks didn't complete,80% (Class notes + assignments),2 hours or less,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),from youtube or some online platforms,2,12am or before,yes,almost same as you in study,Single,5.208
10/08/2024 20:04:27,,Preet maur ,19-25,Female,OBC,Secondary (9-12),Urban,2.5 - 5 lakh,yes,No,80-90%,Above 90%,Hindi,9.11,M.sc.,"Reputed University (like BHU, DU etc)",90%,Home,never,2 or more days before due date,50% (assignments  or class notes only),2 hours or less,Yes,2-4 hours,Netflix and Chill,revising the whole notes without short notes,home (self),reading from books,3,2 am,yes,almost same as you in study,Toxic Relationship,10.0
03/08/2024 18:50:27,,Nikhil Desai,19-25,Female,OBC,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,yes,Yes,80-90%,60-70%,English,5.0,M.sc.,IIT,80%,Hostel room,once in a while,missed some homeworks didn't complete,50% (assignments  or class notes only),2 hours or less,No,1-2 hours,Netflix and Chill,practice by writting,library (self),reading from books,3,12am or before,yes,almost same as you in study,Toxic Relationship,10.0
03/08/2024 16:58:49,,Sneha,19-25,Female,General,Secondary (9-12),Rural,1 - 2.5 lakh,no,No,70-80%,Above 90%,Hindi,9.73,Ett,Regional and private collages,90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,100% (class notes + assignments + book's que),3-5 hours,Yes,2-4 hours,almost sleeping all day,practice by writting,home (group study),from youtube or some online platforms,3,2 am,yes,almost same as you in study,Toxic Relationship,10.0
03/08/2024 17:07:27,,Pandey Harsh,above 25,Female,General,Secondary (9-12),Semi-Urban,2.5 - 5 lakh,no,No,80-90%,60-70%,English,5.11,B.tech,IIT,90%,Hostel room,never,2 or more days before due date,100% (class notes + assignments + book's que),3-5 hours,Yes,1-2 hours,Netflix and Chill,revising the whole notes without short notes,library (group study),reading from books,2,1am,no,almost same as you in study,Single,10.0
03/08/2024 17:12:11,,Love Pandeya,19-25,Male,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,Yes,80-90%,Above 90%,English,7.18,M.sc.,"Reputed University (like BHU, DU etc)",90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,100% (class notes + assignments + book's que),5+,Yes,0 hours,Going out side with friends,revising the whole notes without short notes,library (self),from Professor in the class,4,1am,yes,almost same as you in study,Single,10.0
04/08/2024 22:05:31,,Kajal,19-25,Female,OBC,Tertiary (graduation or above),Semi-Urban,above 10 lakh,no,No,Above 90%,Above 90%,English,9.73,M.sc.,"Reputed University (like BHU, DU etc)",90%,Home,once in a while,missed some homeworks didn't complete,10% (nothing much),2 hours or less,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (group study),from friends after the class,2,1am,yes,almost same as you in study,Single,10.0
01/08/2024 21:51:45,,Sharon,19-25,Female,OBC,Primary (1-8),Rural,2.5 - 5 lakh,no,Yes,80-90%,80-90%,English,5.0,B.tech,Regional and private collages,90%,Home,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),3-5 hours,Yes,2-4 hours,revising the week's study material,practice by writting,library (self),from Professor in the class,Alone (don't study in group),12am or before,yes,better than you in study,Single,9.256
16/08/2024 21:52:50,,SM,19-25,Female,St/Sc,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,No,80-90%,80-90%,Hindi,5.0,M.sc.,IIT,70%,Hostel room,never,missed some homeworks didn't complete,100% (class notes + assignments + book's que),2 hours or less,Yes,1-2 hours,Going out side with friends,summarizing and making short notes,home (self),from Professor in the class,3,1am,yes,almost same as you in study,Toxic Relationship,9.237
02/08/2024 08:13:32,,Subhajit Kundu,19-25,Female,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,No,Above 90%,80-90%,Hindi,9.73,Government employee,Regional and private collages,90%,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),5+,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),reading from books,4,12am or before,yes,almost same as you in study,Single,10.0
02/08/2024 00:33:56,,Srijan,19-25,Female,General,Primary (1-8),Rural,above 10 lakh,no,No,80-90%,80-90%,Hindi,5.0,M.sc.,NIT,80%,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),5+,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),reading from books,4,12am or before,yes,almost same as you in study,Healthy Relationship,8.457
16/08/2024 21:48:11,,Manisha,19-25,Female,General,Secondary (9-12),Rural,above 10 lakh,no,No,80-90%,80-90%,Hindi,5.0,MA (JMC),IIT,90%,Hostel room,once in a while,on the due date (night before),80% (Class notes + assignments),5+,No,2-4 hours,almost sleeping all day,practice by writting,home (self),reading from books,2,1am,yes,almost same as you in study,Toxic Relationship,4.815
02/08/2024 13:52:38,,Potato starch,above 25,Female,General,Tertiary (graduation or above),Rural,5 - 10 lakh,yes,No,80-90%,Above 90%,English,5.0,M.sc.,IIT,90%,Home,never,on the due date (night before),80% (Class notes + assignments),3-5 hours,No,1-2 hours,almost sleeping all day,summarizing and making short notes,home (self),from Professor in the class,2,12am or before,yes,better than you in study,Single,6.992
02/08/2024 07:32:40,,Mansi,19-25,Female,OBC,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,no,No,80-90%,70-80%,English,9.73,M.sc.,Regional and private collages,80%,PG room,once in a while,2 or more days before due date,50% (assignments  or class notes only),3-5 hours,No,1-2 hours,Going out side with friends,revising the whole notes without short notes,home (group study),from Professor in the class,2,1am,no,almost same as you in study,Single,10.0
02/08/2024 08:19:12,,String theory,19-25,Female,St/Sc,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,yes,No,80-90%,Above 90%,English,6.59,B.sc.,"Reputed University (like BHU, DU etc)",90%,Home,frequently (almost daily ),on the due date (night before),50% (assignments  or class notes only),2 hours or less,Yes,1-2 hours,almost sleeping all day,revising the whole notes without short notes,library (self),reading from books,2,3 am or later,yes,better than you in study,Single,10.0
01/08/2024 21:55:48,,Batak,19-25,Male,General,Secondary (9-12),Urban,2.5 - 5 lakh,yes,No,70-80%,Above 90%,Hindi,7.05,M.sc.,IIT,90%,Hostel room,once in a while,on the due date (night before),50% (assignments or class notes only),2 hours or less,Yes,1-2 hours,almost sleeping all day,summarizing and making short notes,home (self),reading from books,2,12am or before,yes,better than you in study,Single,7.061
01/08/2024 19:50:34,,No One,19-25,Male,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,Yes,Above 90%,70-80%,English,5.0,M.tech,IIT,80%,Hostel room,frequently (almost daily ),2 or more days before due date,100% (class notes + assignments + book's que),2 hours or less,No,1-2 hours,Going out side with friends,revising the whole notes without short notes,home (self),from youtube or some online platforms,2,1am,no,better than you in study,Healthy Relationship,4.0
01/08/2024 17:37:47,,Kesar,19-25,Female,OBC,Tertiary (graduation or above),Rural,above 10 lakh,no,No,80-90%,80-90%,English,5.0,Phd,IIT,90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,50% (assignments  or class notes only),2 hours or less,Yes,1-2 hours,revising the week's study material,revising the whole notes without short notes,library (self),from Professor in the class,2,2 am,yes,almost same as you in study,Single,8.538
01/08/2024 19:50:34,,Pritam ,19-25,Female,St/Sc,Tertiary (graduation or above),Urban,above 10 lakh,yes,No,80-90%,Above 90%,Hindi,8.41,B.tech,Regional and private collages,90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,100% (class notes + assignments + book's que),5+,No,0 hours,Going out side with friends,practice by writting,home (self),from friends after the class,3,1am,yes,almost same as you in study,Toxic Relationship,10.0
16/08/2024 21:56:03,,Kajal,19-25,Female,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,yes,No,70-80%,Above 90%,Hindi,5.47,B.tech,IIT,90%,Hostel room,never,on the due date (night before),80% (Class notes + assignments),3-5 hours,Yes,1-2 hours,almost sleeping all day,summarizing and making short notes,home (self),reading from books,3,12am or before,yes,almost same as you in study,Healthy Relationship,10.0
02/08/2024 08:13:32,,Vikram Singh,above 25,Female,General,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,yes,Yes,80-90%,Above 90%,English,6.14,Economics ,IIT,90%,Hostel room,never,2 or more days before due date,10% (nothing much),2 hours or less,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,library (self),reading from books,4,12am or before,yes,almost same as you in study,Single,8.282
01/08/2024 17:23:49,,Harshita verma ,19-25,Female,St/Sc,Tertiary (graduation or above),Urban,5 - 10 lakh,no,Yes,80-90%,Above 90%,English,5.0,MA ,Regional and private collages,80%,Hostel room,once in a while,on the due date (night before),100% (class notes + assignments + book's que),2 hours or less,No,1-2 hours,Going out side with friends,practice by writting,home (self),from Professor in the class,2,12am or before,yes,better than you in study,Toxic Relationship,10.0
17/08/2024 15:46:45,,Akash,19-25,Female,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,No,Above 90%,80-90%,English,6.22,M.sc.,"Reputed University (like BHU, DU etc)",80%,Hostel room,once in a while,missed some homeworks didn't complete,50% (assignments  or class notes only),2 hours or less,Yes,1-2 hours,almost sleeping all day,practice by writting,home (self),reading from books,Alone (don't study in group),1am,yes,almost same as you in study,Healthy Relationship,8.14
17/08/2024 00:19:56,,Vikram Singh,19-25,Female,General,Tertiary (graduation or above),Rural,5 - 10 lakh,yes,No,80-90%,80-90%,Hindi,5.53,MA ,Regional and private collages,90%,Hostel room,once in a while,2 or more days before due date,80% (Class notes + assignments),2 hours or less,No,2-4 hours,almost sleeping all day,practice by writting,home (self),from youtube or some online platforms,2,12am or before,yes,almost same as you in study,Healthy Relationship,10.0
01/08/2024 22:34:02,,Demo,19-25,Male,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,no,Yes,80-90%,80-90%,English,9.43,B.tech,IIT,90%,Hostel room,never,on the due date (night before),10% (nothing much),2 hours or less,Yes,1-2 hours,Going out side with friends,practice by writting,home (self),reading from books,more than 4,2 am,no,almost same as you in study,Single,4.0
03/08/2024 18:50:27,,Batak,19-25,Male,St/Sc,Tertiary (graduation or above),Urban,above 10 lakh,yes,No,80-90%,80-90%,Hindi,7.62,B.sc.,"Reputed University (like BHU, DU etc)",90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),5+,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,library (self),reading from books,4,2 am,no,better than you in study,Single,10.0
01/08/2024 21:50:23,,Harsh Kumar,19-25,Male,General,Tertiary (graduation or above),Rural,1 - 2.5 lakh,yes,Yes,80-90%,80-90%,Hindi,9.73,B.sc.,Regional and private collages,80%,Home,once in a while,2 or more days before due date,80% (Class notes + assignments),5+,No,2-4 hours,Going out side with friends,practice by writting,home (self),from friends after the class,2,12am or before,yes,almost same as you in study,Healthy Relationship,10.0
01/08/2024 22:13:40,,Gulmohar,19-25,Male,St/Sc,Tertiary (graduation or above),Urban,above 10 lakh,no,Yes,60-70%,70-80%,English,5.0,B.sc.,IIT,90%,Hostel room,never,on the due date (night before),80% (Class notes + assignments),3-5 hours,No,2-4 hours,Going out side with friends,revising the whole notes without short notes,home (self),from youtube or some online platforms,3,12am or before,yes,almost same as you in study,Toxic Relationship,8.824
02/08/2024 00:30:34,,String theory,above 25,Female,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,yes,No,60-70%,80-90%,English,5.35,M.sc.,"Reputed University (like BHU, DU etc)",70%,Hostel room,once in a while,2 or more days before due date,10% (nothing much),5+,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),from youtube or some online platforms,3,12am or before,yes,almost same as you in study,Toxic Relationship,9.503
01/08/2024 21:53:15,,Harsh,19-25,Male,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,No,60-70%,60-70%,Hindi,5.82,B.tech,"Reputed University (like BHU, DU etc)",90%,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),5+,Yes,2-4 hours,Netflix and Chill,summarizing and making short notes,library (self),from youtube or some online platforms,Alone (don't study in group),12am or before,yes,better than you in study,Single,7.617
03/08/2024 18:59:50,,Shivani,19-25,Male,OBC,Tertiary (graduation or above),Rural,5 - 10 lakh,yes,No,80-90%,Above 90%,Hindi,5.97,B.ed.,Regional and private collages,90%,Hostel room,frequently (almost daily ),on the due date (night before),50% (assignments  or class notes only),2 hours or less,No,1-2 hours,almost sleeping all day,revising the whole notes without short notes,home (self),reading from books,2,1am,no,almost same as you in study,Single,10.0
10/08/2024 20:04:27,,Shivani Thakur,19-25,Female,OBC,Tertiary (graduation or above),Rural,Below 1 lakh,yes,No,Above 90%,Above 90%,Hindi,5.0,M.sc.,"Reputed University (like BHU, DU etc)",70%,Hostel room,once in a while,2 or more days before due date,80% (Class notes + assignments),2 hours or less,No,2-4 hours,Going out side with friends,summarizing and making short notes,home (self),from youtube or some online platforms,3,1am,yes,almost same as you in study,Single,4.0
03/08/2024 17:18:55,,Vosu Mittal ,19-25,Female,General,Tertiary (graduation or above),Rural,1 - 2.5 lakh,no,No,80-90%,80-90%,English,8.62,Phd,IIT,90%,Hostel room,never,2 or more days before due date,80% (Class notes + assignments),3-5 hours,No,0 hours,Going out side with friends,revising the whole notes without short notes,home (self),from youtube or some online platforms,3,12am or before,no,almost same as you in study,Healthy Relationship,5.741
01/08/2024 22:34:02,,Bhawna ,19-25,Male,St/Sc,Primary (1-8),Urban,5 - 10 lakh,no,No,80-90%,Above 90%,Hindi,5.44,M.sc.,Regional and private collages,90%,Hostel room,frequently (almost daily ),on the due date (night before),80% (Class notes + assignments),5+,No,2-4 hours,revising the week's study material,revising the whole notes without short notes,home (self),reading from books,Alone (don't study in group),12am or before,yes,almost same as you in study,Single,4.219
03/08/2024 17:12:11,,Harshita verma ,19-25,Female,General,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,no,Yes,Above 90%,80-90%,Hindi,5.0,Masters in Journalism ,Regional and private collages,didn't attended classes properly,Hostel room,never,on the due date (night before),80% (Class notes + assignments),3-5 hours,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),reading from books,Alone (don't study in group),12am or before,yes,almost same as you in study,Healthy Relationship,10.0
03/08/2024 18:50:27,,I Sai Ravi Teja,19-25,Female,General,Tertiary (graduation or above),Rural,5 - 10 lakh,yes,Yes,80-90%,70-80%,English,5.86,M.sc.,NIT,90%,Hostel room,once in a while,on the due date (night before),80% (Class notes + assignments),2 hours or less,Yes,1-2 hours,revising the week's study material,summarizing and making short notes,home (self),reading from books,Alone (don't study in group),12am or before,yes,almost same as you in study,Healthy Relationship,4.247
04/08/2024 09:21:51,,Beta,above 25,Male,General,Secondary (9-12),Semi-Urban,1 - 2.5 lakh,yes,No,80-90%,80-90%,English,7.17,B.Ed,IIT,didn't attended classes properly,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),2 hours or less,Yes,0 hours,Going out side with friends,summarizing and making short notes,library (self),from Professor in the class,2,1am,yes,almost same as you in study,Single,10.0
01/08/2024 12:40:49,,Vasu,19-25,Male,General,Primary (1-8),Urban,2.5 - 5 lakh,no,No,70-80%,80-90%,Hindi,5.35,B.sc.,Regional and private collages,80%,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),3-5 hours,No,5+,almost sleeping all day,summarizing and making short notes,home (self),from friends after the class,2,1am,yes,almost same as you in study,Healthy Relationship,10.0
03/08/2024 17:50:23,,Kashish ,19-25,Male,General,Secondary (9-12),Rural,5 - 10 lakh,no,No,Above 90%,80-90%,Hindi,5.2,B.sc.,NIT,90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,50% (assignments or class notes only),3-5 hours,Yes,1-2 hours,almost sleeping all day,revising the whole notes without short notes,home (self),from youtube or some online platforms,3,3 am or later,yes,better than you in study,Toxic Relationship,10.0
01/08/2024 11:46:17,,Anamica Thakur ,19-25,Male,OBC,Primary (1-8),Rural,1 - 2.5 lakh,no,No,80-90%,70-80%,Hindi,5.36,Pcs ,"Reputed University (like BHU, DU etc)",80%,Home,once in a while,2 or more days before due date,80% (Class notes + assignments),2 hours or less,No,2-4 hours,almost sleeping all day,practice by writting,home (self),reading from books,4,12am or before,no,better than you in study,Healthy Relationship,6.263
02/08/2024 13:08:56,,Harsh ,19-25,Female,General,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,yes,Yes,80-90%,80-90%,Hindi,7.06,BCA,"Reputed University (like BHU, DU etc)",80%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),5+,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (group study),from youtube or some online platforms,2,2 am,no,almost same as you in study,Single,10.0
17/08/2024 15:44:26,,Chukundi Lal Mishra,19-25,Female,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,yes,Yes,80-90%,80-90%,Hindi,5.51,M.sc.,"Reputed University (like BHU, DU etc)",80%,Hostel room,frequently (almost daily ),2 or more days before due date,50% (assignments  or class notes only),2 hours or less,No,2-4 hours,Netflix and Chill,practice by writting,library (self),from Professor in the class,2,3 am or later,yes,almost same as you in study,Single,8.523
03/08/2024 17:30:22,,Shivani Thakur,19-25,Male,General,Tertiary (graduation or above),Rural,above 10 lakh,yes,No,80-90%,Above 90%,English,9.73,B.tech,"Reputed University (like BHU, DU etc)",80%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),2 hours or less,Yes,0 hours,Netflix and Chill,revising the whole notes without short notes,home (self),from Professor in the class,3,1am,yes,almost same as you in study,Healthy Relationship,4.0
02/08/2024 00:33:56,,Jyoti,19-25,Male,General,Primary (1-8),Semi-Urban,2.5 - 5 lakh,yes,No,80-90%,Above 90%,English,9.73,M.tech,Regional and private collages,90%,Hostel room,frequently (almost daily ),2 or more days before due date,100% (class notes + assignments + book's que),3-5 hours,No,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (group study),from Professor in the class,2,12am or before,yes,almost same as you in study,Toxic Relationship,10.0
02/08/2024 08:13:32,,Apurba Roy ,19-25,Male,OBC,Tertiary (graduation or above),Rural,above 10 lakh,no,No,70-80%,60-70%,English,5.0,BA,"Reputed University (like BHU, DU etc)",80%,PG room,frequently (almost daily ),2 or more days before due date,50% (assignments  or class notes only),5+,Yes,2-4 hours,Netflix and Chill,practice by writting,library (self),reading from books,3,12am or before,no,almost same as you in study,Single,4.176
03/08/2024 18:18:10,,Shanu,19-25,Female,General,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,no,No,Above 90%,80-90%,Hindi,5.0,B.tech,IIT,90%,Hostel room,once in a while,2 or more days before due date,80% (Class notes + assignments),3-5 hours,No,2-4 hours,revising the week's study material,revising the whole notes without short notes,home (self),reading from books,2,12am or before,yes,almost same as you in study,Single,10.0
03/08/2024 22:38:50,,Potato starch,19-25,Male,other (PWD),Tertiary (graduation or above),Semi-Urban,above 10 lakh,no,No,Above 90%,70-80%,English,5.0,M.sc.,Regional and private collages,90%,Hostel room,once in a while,2 or more days before due date,50% (assignments  or class notes only),3-5 hours,No,2-4 hours,revising the week's study material,summarizing and making short notes,home (self),from youtube or some online platforms,Alone (don't study in group),12am or before,yes,almost same as you in study,Toxic Relationship,8.337
03/08/2024 21:14:00,,Aqua Hoshino,19-25,Male,General,Secondary (9-12),Semi-Urban,above 10 lakh,no,Yes,80-90%,80-90%,English,6.32,Bcom,IIT,didn't attended classes properly,Hostel room,once in a while,missed some homeworks didn't complete,80% (Class notes + assignments),5+,No,1-2 hours,Going out side with friends,practice by writting,home (self),reading from books,3,12am or before,yes,almost same as you in study,Toxic Relationship,6.459
02/08/2024 13:43:10,,Tholi,19-25,Male,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,no,No,80-90%,Above 90%,English,5.0,MA ,IIT,90%,Hostel room,once in a while,missed some homeworks didn't complete,80% (Class notes + assignments),3-5 hours,Yes,5+,revising the week's study material,practice by writting,home (self),from Professor in the class,3,1am,yes,better than you in study,Single,9.967
17/08/2024 00:19:56,,Vidushi,19-25,Male,General,Tertiary (graduation or above),Urban,1 - 2.5 lakh,no,No,80-90%,80-90%,English,5.0,B.tech,"Reputed University (like BHU, DU etc)",80%,Home,frequently (almost daily ),on the due date (night before),80% (Class notes + assignments),3-5 hours,No,0 hours,revising the week's study material,revising the whole notes without short notes,home (self),from Professor in the class,2,1am,yes,almost same as you in study,Toxic Relationship,5.681
03/08/2024 17:30:22,,Aarzoo ,19-25,Female,General,Tertiary (graduation or above),Rural,above 10 lakh,yes,Yes,80-90%,Above 90%,Hindi,5.0,M.sc.,IIT,didn't attended classes properly,Hostel room,once in a while,2 or more days before due date,50% (assignments or class notes only),2 hours or less,Yes,0 hours,almost sleeping all day,summarizing and making short notes,home (group study),reading from books,3,12am or before,yes,almost same as you in study,Healthy Relationship,5.508
